"","Replicate","Batch.x","Threshold","PC1","PC2","Stress","Sample","Condition","Batch.y","Batch2","AB","Bacs","file_ID","Replicate_Number"
"144","GF.3","w/o Batch",10,1.24494056332268,6.97445256329112,10.1965163307837,"G05283","GF","b","f","yes","no","G05283_salmon",3
"145","GF.4","with Batch",0,9.90651791404492,-12.4956752857498,9.75993138621074,"G05287","GF","b","d","yes","no","G05287_salmon",4
"146","GF.4","w/o Batch",0,-11.3339885932049,-13.6429979894775,10.4953061044631,"G05287","GF","b","d","yes","no","G05287_salmon",4
"147","GF.4","with Batch",1,9.92901120205073,-12.4870318011601,9.74281922430515,"G05287","GF","b","d","yes","no","G05287_salmon",4
"148","GF.4","w/o Batch",1,-11.3321375488592,-13.7904642805776,10.3290309838624,"G05287","GF","b","d","yes","no","G05287_salmon",4
"149","GF.4","with Batch",3,9.94834848632871,-12.4839264479483,9.84793335279049,"G05287","GF","b","d","yes","no","G05287_salmon",4
"150","GF.4","w/o Batch",3,-11.3361700738261,-13.5927979025056,10.5206950795363,"G05287","GF","b","d","yes","no","G05287_salmon",4
"151","GF.4","with Batch",10,10.0523857110433,-12.4421575279828,9.70443239753736,"G05287","GF","b","d","yes","no","G05287_salmon",4
"152","GF.4","w/o Batch",10,-11.3136405418841,-13.7745985637696,10.1965163307837,"G05287","GF","b","d","yes","no","G05287_salmon",4
"153","GF.5","with Batch",0,4.17960648089396,0.980607141781522,9.75993138621074,"G05295","GF","b","e","yes","no","G05295_salmon",5
"154","GF.5","w/o Batch",0,-0.92217013316556,8.09533551955622,10.4953061044631,"G05295","GF","b","e","yes","no","G05295_salmon",5
"155","GF.5","with Batch",1,4.11776204757825,1.0337769900943,9.74281922430515,"G05295","GF","b","e","yes","no","G05295_salmon",5
"156","GF.5","w/o Batch",1,-0.937419746706744,8.12335010343786,10.3290309838624,"G05295","GF","b","e","yes","no","G05295_salmon",5
"157","GF.5","with Batch",3,4.28358754118338,0.972421358086503,9.84793335279049,"G05295","GF","b","e","yes","no","G05295_salmon",5
"158","GF.5","w/o Batch",3,-1.18392727752305,7.8136277890698,10.5206950795363,"G05295","GF","b","e","yes","no","G05295_salmon",5
"159","GF.5","with Batch",10,4.07928256881509,1.07803656030028,9.70443239753736,"G05295","GF","b","e","yes","no","G05295_salmon",5
"160","GF.5","w/o Batch",10,-0.847772003989241,8.40658289662218,10.1965163307837,"G05295","GF","b","e","yes","no","G05295_salmon",5
"161","wt.1","with Batch",0,13.1274730230985,4.89571357038705,9.75993138621074,"G05275","wt","a","b","no","bac","G05275_salmon",1
"162","wt.1","w/o Batch",0,-13.8329004137112,0.109471410520666,10.4953061044631,"G05275","wt","a","b","no","bac","G05275_salmon",1
"163","wt.1","with Batch",1,13.199564512023,4.854832612292,9.74281922430515,"G05275","wt","a","b","no","bac","G05275_salmon",1
"164","wt.1","w/o Batch",1,-13.8400185265728,0.0532413695047182,10.3290309838624,"G05275","wt","a","b","no","bac","G05275_salmon",1
"165","wt.1","with Batch",3,13.2015587878711,4.93734596005302,9.84793335279049,"G05275","wt","a","b","no","bac","G05275_salmon",1
"166","wt.1","w/o Batch",3,-13.7768674953753,0.104713097287211,10.5206950795363,"G05275","wt","a","b","no","bac","G05275_salmon",1
"167","wt.1","with Batch",10,13.1075541101145,4.86570934447046,9.70443239753736,"G05275","wt","a","b","no","bac","G05275_salmon",1
"168","wt.1","w/o Batch",10,-13.7291862920118,0.0133639384218309,10.1965163307837,"G05275","wt","a","b","no","bac","G05275_salmon",1
"169","wt.2","with Batch",0,19.9939221129296,1.52778317220353,9.75993138621074,"G05279","wt","a","c","no","bac","G05279_salmon",2
"170","wt.2","w/o Batch",0,-14.9505055703494,2.19545851870137,10.4953061044631,"G05279","wt","a","c","no","bac","G05279_salmon",2
"171","wt.2","with Batch",1,19.9957917521128,1.40921366135575,9.74281922430515,"G05279","wt","a","c","no","bac","G05279_salmon",2
"172","wt.2","w/o Batch",1,-14.9042491862877,2.21948407580423,10.3290309838624,"G05279","wt","a","c","no","bac","G05279_salmon",2
"173","wt.2","with Batch",3,19.9417637385538,1.48429766408828,9.84793335279049,"G05279","wt","a","c","no","bac","G05279_salmon",2
"174","wt.2","w/o Batch",3,-14.8126896391578,2.32747700846119,10.5206950795363,"G05279","wt","a","c","no","bac","G05279_salmon",2
"175","wt.2","with Batch",10,20.0241471316542,1.5383406277361,9.70443239753736,"G05279","wt","a","c","no","bac","G05279_salmon",2
"176","wt.2","w/o Batch",10,-14.9037451421183,2.38522468635528,10.1965163307837,"G05279","wt","a","c","no","bac","G05279_salmon",2
"177","wt.3","with Batch",0,2.42497425499378,7.37868500523044,9.75993138621074,"G05281","wt","a","f","no","bac","G05281_salmon",3
"178","wt.3","w/o Batch",0,-5.72559268143341,3.65249386943414,10.4953061044631,"G05281","wt","a","f","no","bac","G05281_salmon",3
"179","wt.3","with Batch",1,2.48087124042376,7.54498628431582,9.74281922430515,"G05281","wt","a","f","no","bac","G05281_salmon",3
"180","wt.3","w/o Batch",1,-5.74549674293107,3.799685950337,10.3290309838624,"G05281","wt","a","f","no","bac","G05281_salmon",3
"181","wt.3","with Batch",3,2.52827363257513,7.40547050562517,9.84793335279049,"G05281","wt","a","f","no","bac","G05281_salmon",3
"182","wt.3","w/o Batch",3,-5.76457902969159,3.48582348962238,10.5206950795363,"G05281","wt","a","f","no","bac","G05281_salmon",3
"183","wt.3","with Batch",10,2.47215557320798,7.60386304025148,9.70443239753736,"G05281","wt","a","f","no","bac","G05281_salmon",3
"184","wt.3","w/o Batch",10,-5.80525200975954,3.751234391406,10.1965163307837,"G05281","wt","a","f","no","bac","G05281_salmon",3
"185","wt.4","with Batch",0,12.5417166332848,6.97853359211885,9.75993138621074,"G05291","wt","b","e","no","bac","G05291_salmon",4
"186","wt.4","w/o Batch",0,-13.8905513894553,4.63642240328936,10.4953061044631,"G05291","wt","b","e","no","bac","G05291_salmon",4
"187","wt.4","with Batch",1,12.4811149949731,6.99940760243633,9.74281922430515,"G05291","wt","b","e","no","bac","G05291_salmon",4
"188","wt.4","w/o Batch",1,-13.9958455410024,4.4827802655299,10.3290309838624,"G05291","wt","b","e","no","bac","G05291_salmon",4
