"","Condition_GF_vs_wt","Condition_GF_vs_bA.A","Condition_GF_vs_bJ.A","Condition_GF_vs_bE.A","Condition_bA.A_vs_wt","Condition_bJ.A_vs_wt","Condition_bE.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_wt","Condition_bE.A_bJ.A_bA.A_vs_GF","Condition_bE.A_bJ.A_bA.A_vs_GF_wt"
"NVE305",0,0,0,0,1,0,1,1,0,1
"NVE306",0,0,0,0,0,0,0,0,0,0
"NVE307",0,0,0,0,0,0,0,0,0,0
"NVE308",0,0,0,0,1,0,0,1,0,0
"NVE309",0,0,0,0,0,0,0,0,0,0
"NVE310",0,0,0,0,0,0,0,0,0,0
"NVE311",0,0,0,0,0,0,0,0,0,0
"NVE312",0,0,0,0,0,0,0,0,0,0
"NVE313",0,0,0,0,0,0,0,0,0,0
"NVE314",0,1,0,0,0,0,0,1,1,1
"NVE315",0,0,0,0,0,0,0,0,0,0
"NVE316",0,0,0,0,0,0,0,0,0,0
"NVE317",0,0,0,0,0,0,0,0,0,0
"NVE318",1,1,0,0,0,0,0,0,1,0
"NVE319",0,0,0,0,1,0,1,1,0,1
"NVE320",0,0,0,0,1,0,0,0,0,0
"NVE321",0,1,0,0,1,0,1,1,1,1
"NVE322",0,0,0,0,0,0,0,0,0,0
"NVE323",0,1,0,0,1,0,1,1,0,1
"NVE324",0,0,0,0,0,0,0,0,0,0
"NVE325",0,1,0,0,1,0,0,0,0,1
"NVE326",0,0,0,0,0,1,0,0,0,0
"NVE327",0,0,0,0,0,0,0,0,0,0
"NVE328",0,0,0,0,0,0,0,1,0,1
"NVE329",0,0,0,0,0,0,0,0,0,0
"NVE330",0,0,0,0,0,0,0,0,0,0
"NVE331",0,0,0,0,0,0,0,0,0,0
"NVE332",0,0,0,0,0,0,0,0,0,0
"NVE333",0,0,0,0,1,0,0,1,0,0
"NVE334",0,0,0,0,0,0,0,0,0,0
"NVE335",1,0,0,0,1,0,0,1,0,1
"NVE336",0,0,0,0,0,0,0,0,0,0
"NVE337",0,0,0,0,1,0,1,1,0,1
"NVE338",0,0,0,0,0,0,0,0,0,0
"NVE339",0,0,0,0,0,0,0,0,0,1
"NVE340",0,0,0,1,1,0,1,1,1,1
"NVE341",0,0,0,0,0,0,0,0,0,0
"NVE342",0,0,0,0,0,0,1,0,0,1
"NVE343",0,0,0,0,0,0,0,0,0,0
"NVE344",0,0,0,0,0,0,0,0,0,0
"NVE345",0,0,0,1,0,0,0,0,0,0
"NVE346",0,0,0,0,0,0,0,0,0,0
"NVE347",0,0,0,0,0,0,0,0,0,1
"NVE348",1,0,0,0,1,0,1,1,0,1
"NVE349",0,0,0,0,0,0,0,0,0,0
"NVE350",1,0,0,0,1,1,0,1,0,0
"NVE351",1,1,0,0,1,1,1,1,0,1
"NVE352",0,0,0,0,0,0,0,0,0,0
"NVE353",1,0,0,0,1,0,1,1,0,0
"NVE356",0,0,0,0,1,0,0,1,0,0
"NVE357",1,0,0,0,1,1,1,1,0,1
"NVE358",0,0,0,0,0,0,0,0,0,0
"NVE359",0,0,0,0,1,0,0,0,0,0
"NVE360",0,0,0,0,0,0,0,0,0,0
"NVE361",0,0,0,0,0,0,0,0,0,0
"NVE362",0,0,0,0,1,0,0,1,0,1
"NVE363",0,0,0,0,1,0,1,1,1,1
"NVE364",1,0,0,0,1,0,1,1,0,1
"NVE365",0,0,0,0,0,0,0,0,0,0
"NVE366",0,0,0,0,0,0,0,0,0,0
"NVE367",0,0,0,0,0,0,0,0,0,0
"NVE368",0,0,0,0,1,0,1,1,0,1
"NVE369",1,0,0,0,1,1,0,1,0,0
"NVE370",0,0,0,0,0,0,0,0,0,0
"NVE371",0,1,1,0,0,0,0,0,1,1
"NVE372",0,0,0,0,0,0,0,0,0,0
"NVE374",0,0,0,0,1,0,0,1,0,1
"NVE375",0,0,0,0,1,0,1,1,0,1
"NVE376",0,0,0,0,0,0,0,0,0,0
"NVE377",0,0,0,0,0,0,0,0,0,0
"NVE378",0,0,0,0,0,0,0,0,0,0
"NVE379",0,0,0,0,0,0,0,0,0,0
"NVE380",0,0,0,0,1,1,1,1,0,1
"NVE381",0,1,0,0,1,0,1,1,0,1
"NVE382",0,0,0,0,0,0,0,0,0,0
"NVE383",0,0,0,0,0,0,0,0,0,0
"NVE384",0,0,0,0,1,0,0,0,0,0
"NVE385",0,0,0,0,0,0,0,0,0,0
"NVE386",0,0,0,0,0,0,0,0,0,0
"NVE387",0,1,0,0,1,0,0,1,1,1
"NVE388",0,0,0,0,0,0,0,0,0,0
"NVE389",1,0,0,0,1,0,0,0,0,0
"NVE390",0,0,0,0,0,0,0,0,0,0
"NVE391",0,0,0,0,0,0,0,0,0,0
"NVE392",0,0,0,0,0,0,0,0,0,0
"NVE393",0,0,1,0,0,0,0,0,0,0
"NVE394",0,0,0,0,0,0,0,0,0,0
"NVE395",0,0,0,0,0,0,0,0,0,0
"NVE396",0,0,0,0,0,0,0,0,0,0
"NVE397",0,1,0,1,1,1,1,1,1,1
"NVE398",0,0,0,0,0,0,0,0,0,0
"NVE399",0,0,0,0,0,0,0,0,0,0
"NVE400",0,0,0,0,1,0,0,0,0,0
"NVE401",0,0,0,0,1,1,1,1,1,1
"NVE402",0,0,0,0,1,0,1,1,0,1
"NVE403",0,0,0,0,0,0,1,1,0,0
"NVE404",0,0,0,0,0,0,0,0,0,0
"NVE405",1,0,0,1,1,0,0,0,1,0
"NVE406",0,0,0,0,0,0,0,0,0,0
"NVE407",0,0,0,0,0,0,0,0,0,0
"NVE408",0,0,0,0,0,0,0,0,0,0
"NVE409",0,0,0,0,1,0,0,0,0,0
"NVE410",0,0,0,0,0,0,0,0,0,0
"NVE411",0,0,0,0,0,0,0,0,0,0
"NVE412",0,0,0,0,0,0,0,1,0,1
"NVE413",0,0,0,0,0,0,0,0,0,0
"NVE414",0,0,0,0,0,0,0,1,0,1
"NVE415",0,0,0,0,0,0,0,0,0,0
"NVE416",0,0,0,0,1,0,0,1,0,1
"NVE417",0,0,0,0,0,0,0,0,0,0
"NVE418",0,0,0,0,0,1,0,1,0,1
"NVE419",0,0,0,0,0,0,0,0,0,0
"NVE420",0,1,0,0,1,1,1,1,1,1
"NVE421",0,0,0,0,1,0,0,1,0,0
"NVE422",0,0,0,1,1,0,1,1,1,1
"NVE423",1,0,0,0,1,1,1,1,0,1
"NVE424",0,0,0,0,1,0,0,0,0,0
"NVE425",0,0,0,0,0,0,0,0,0,0
